step,loss,grad_norm,learning_rate,num_tokens,completions_mean_length,completions_min_length,completions_max_length,completions_clipped_ratio,completions_mean_terminated_length,completions_min_terminated_length,completions_max_terminated_length,rewards_format_reward_func_mean,rewards_format_reward_func_std,rewards_correctness_reward_func_mean,rewards_correctness_reward_func_std,rewards_cosine_length_penalty_func_mean,rewards_cosine_length_penalty_func_std,rewards_intermediate_overlap_reward_func_mean,rewards_intermediate_overlap_reward_func_std,reward,reward_std,frac_reward_zero_std,completion_length,kl,clip_ratio_low_mean,clip_ratio_low_min,clip_ratio_high_mean,clip_ratio_high_max,clip_ratio_region_mean,epoch
1,4.470348358154297e-08,0.13875128328800201,0.0,3737.0,376.625,220.0,512.0,0.25,331.5,220.0,470.0,0.0,0.0,0.0,0.0,-0.6509910225868225,0.3669305145740509,0.0,0.0,-0.6509909629821777,0.29277482628822327,0.0,376.625,3.2362985109557485e-06,0.0,0.0,0.0,0.0,0.0,0.0002676659528907923
2,-4.470348358154297e-08,0.08541123569011688,5.000000000000001e-07,7560.0,390.875,303.0,484.0,0.0,390.875,303.0,484.0,0.0,0.0,0.0,0.0,-0.8211883306503296,0.13674335181713104,0.0,0.0,-0.8211883306503296,0.13898339867591858,0.0,390.875,1.827171779211767e-06,0.0,0.0,0.0,0.0,0.0,0.0005353319057815846
3,-2.2351741790771484e-08,0.0748063176870346,1.0000000000000002e-06,11484.0,374.0,215.0,512.0,0.25,328.0,215.0,443.0,0.0,0.0,0.0,0.0,-0.6213808059692383,0.3922794461250305,0.0,0.0,-0.6213808059692383,0.1353277564048767,0.0,374.0,1.7345416125635893e-06,0.0,0.0,0.0,0.0,0.0,0.0008029978586723769
4,-2.9802322387695312e-08,0.12068408727645874,1.5e-06,14878.0,337.75,182.0,482.0,0.0,337.75,182.0,482.0,0.0,0.0,0.0,0.0,-0.5390344858169556,0.29025647044181824,0.0,0.0,-0.5390344858169556,0.2236781120300293,0.0,337.75,2.4536174976219627e-06,0.0,0.0,0.0,0.0,0.0,0.0010706638115631692
5,-1.7881393432617188e-07,0.08821422606706619,2.0000000000000003e-06,19398.0,455.5,339.0,512.0,0.5,399.0,339.0,494.0,0.0,0.0,0.0,0.0,-0.9657160043716431,0.05809108540415764,0.0,0.0,-0.9657160043716431,0.05296994373202324,0.0,455.5,3.681893346652032e-06,0.0,0.0,0.0,0.0,0.0,0.0013383297644539614
6,1.4901161193847656e-08,0.10580029338598251,2.5e-06,22432.0,294.75,168.0,512.0,0.125,263.71429443359375,168.0,379.0,0.0,0.0,0.0,0.0,-0.3792336583137512,0.39805927872657776,0.0,0.0,-0.3792336583137512,0.24114668369293213,0.0,294.75,2.553050748588248e-06,0.0,0.0,0.0,0.0,0.0,0.0016059957173447537
7,1.2549571692943573e-07,0.08616593480110168,3e-06,25966.0,344.75,212.0,434.0,0.0,344.75,212.0,434.0,0.0,0.0,0.0,0.0,-0.7905846834182739,0.30902132391929626,0.0,0.0,-0.7905846834182739,0.24794314801692963,0.0,344.75,3.4045437473650964e-06,0.0,0.0,0.0,0.0,0.0,0.001873661670235546
8,2.9802322387695312e-08,0.06875915825366974,3.5e-06,29442.0,334.5,168.0,509.0,0.0,334.5,168.0,509.0,0.0,0.0,0.0,0.0,-0.5425400137901306,0.4036210775375366,0.0,0.0,-0.5425400137901306,0.2573593556880951,0.0,334.5,2.4596684511379863e-06,0.0,0.0,0.0,0.0,0.0,0.0021413276231263384
9,3.725290298461914e-08,0.07913052290678024,4.000000000000001e-06,33579.0,401.125,279.0,512.0,0.375,334.6000061035156,279.0,431.0,0.0,0.0,0.0,0.0,-0.7945926189422607,0.23840415477752686,0.0,0.0,-0.7945926189422607,0.2423175573348999,0.0,401.125,3.070277870165228e-06,0.0,0.0,0.0,0.0,0.0,0.0024089935760171306
10,-1.4901161193847656e-07,0.0866851881146431,4.5e-06,37596.0,405.125,317.0,512.0,0.125,389.8571472167969,317.0,429.0,0.0,0.0,0.0,0.0,-0.9393559694290161,0.08169762790203094,0.0,0.0,-0.9393559694290161,0.0877390056848526,0.0,405.125,2.6886951758342548e-06,0.0,0.0,0.0,0.0,0.0,0.0026766595289079227
